date,precipitation_mm
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0.3
2020-01-11,0.4
2020-01-12,0
2020-01-13,1.2
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0.2
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0.4
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0.5
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0.2
2020-02-18,0.1
2020-02-19,1.1
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0.4
2020-02-24,0.7
2020-02-25,1.5
2020-02-26,2
2020-02-27,0.8
2020-02-28,0.1
2020-02-29,0
2020-03-01,1.8
2020-03-02,0.2
2020-03-03,8.8
2020-03-04,0.3
2020-03-05,1.8
2020-03-06,1.4
2020-03-07,2.2
2020-03-08,0.6
2020-03-09,2.2
2020-03-10,0.5
2020-03-11,1.7
2020-03-12,2.1
2020-03-13,5.2
2020-03-14,1.8
2020-03-15,0
2020-03-16,0
2020-03-17,0.2
2020-03-18,2.4
2020-03-19,0
2020-03-20,0.2
2020-03-21,0.3
2020-03-22,0.3
2020-03-23,3.7
2020-03-24,4.8
2020-03-25,0.1
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0.2
2020-03-31,0.1
2020-04-01,0.3
2020-04-02,0
2020-04-03,0
2020-04-04,0.1
2020-04-05,0.2
2020-04-06,0.5
2020-04-07,0
2020-04-08,0
2020-04-09,1.9
2020-04-10,4.8
2020-04-11,3.5
2020-04-12,0.3
2020-04-13,0.2
2020-04-14,1.7
2020-04-15,0.5
2020-04-16,0.2
2020-04-17,1.9
2020-04-18,2.1
2020-04-19,0.8
2020-04-20,0.3
2020-04-21,1.3
2020-04-22,0.4
2020-04-23,1.5
2020-04-24,2.2
2020-04-25,2
2020-04-26,8.3
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0.1
2020-05-01,0
2020-05-02,0
2020-05-03,2.6
2020-05-04,0
2020-05-05,0.1
2020-05-06,2.5
2020-05-07,4.7
2020-05-08,0.1
2020-05-09,1.5
2020-05-10,20.4
2020-05-11,0.2
2020-05-12,0
2020-05-13,1.3
2020-05-14,0.7
2020-05-15,0
2020-05-16,0
2020-05-17,0.1
2020-05-18,0.9
2020-05-19,1.5
2020-05-20,0.4
2020-05-21,2.1
2020-05-22,1.5
2020-05-23,0.9
2020-05-24,1.6
2020-05-25,10.1
2020-05-26,0.1
2020-05-27,2.2
2020-05-28,13.6
2020-05-29,1.9
2020-05-30,8.2
2020-05-31,0.6
2020-06-01,0.1
2020-06-02,1.1
2020-06-03,0
2020-06-04,0.4
2020-06-05,0
2020-06-06,2.8
2020-06-07,0.8
2020-06-08,2.2
2020-06-09,7.3
2020-06-10,1.7
2020-06-11,11.7
2020-06-12,0.8
2020-06-13,8.4
2020-06-14,2.9
2020-06-15,5.6
2020-06-16,0.4
2020-06-17,1.2
2020-06-18,22.3
2020-06-19,6.4
2020-06-20,13.6
2020-06-21,23.6
2020-06-22,8.8
2020-06-23,12.4
2020-06-24,3
2020-06-25,10.8
2020-06-26,7.2
2020-06-27,6.3
2020-06-28,16.2
2020-06-29,38.3
2020-06-30,18.5